agent_id,agent_type,model_architecture,deployment_environment,task_category,task_complexity,autonomy_level,success_rate,accuracy_score,efficiency_score,execution_time_seconds,response_latency_ms,memory_usage_mb,cpu_usage_percent,cost_per_task_cents,human_intervention_required,error_recovery_rate,multimodal_capability,edge_compatibility,privacy_compliance_score,bias_detection_score,timestamp,data_quality_score,performance_index,cost_efficiency_ratio,autonomous_capability_score
AG_01012,Project Manager,PaLM-2,Server,Text Processing,5,3,0.4788,0.6455,0.6573,22.42,383.35,308.9,53.1,0.0106,True,0.4999,False,False,0.939,0.8061,2024-12-24 04:16:15,0.951,0.58236,50.20344827586207,64.993
AG_00758,Marketing Assistant,Mixtral-8x7B,Hybrid,Decision Making,6,5,0.4833,0.566,0.5844,9.3,127.38,372.4,84.9,0.0068,True,0.558,False,False,0.8281,0.7816,2024-12-24 04:16:15,0.7822,0.53844,69.03076923076924,89.06
AG_00966,QA Tester,Mixtral-8x7B,Server,Communication,2,4,0.8116,0.8395,0.765,10.37,2185.27,183.3,45.9,0.0053,False,0.9196,False,False,0.745,0.8214,2024-12-24 04:16:15,0.7621,0.80599,127.93492063492063,124.372
AG_00480,Code Assistant,CodeT5+,Hybrid,Creative Writing,8,6,0.3574,0.4888,0.4742,43.85,1847.43,488.2,75.3,0.0195,True,0.3809,True,False,0.9653,0.8684,2024-12-24 04:16:15,0.8117,0.43185999999999997,21.06634146341463,86.663
AG_01050,QA Tester,Falcon-180B,Edge,Planning & Scheduling,3,4,0.5706,0.7137,0.7209,23.02,254.3,278.4,15.1,0.0105,True,0.6717,False,True,0.9042,0.8417,2024-12-24 04:16:15,0.7762,0.65862,57.27130434782609,87.019
AG_00037,Email Manager,Transformer-XL,Edge,Communication,5,7,0.5125,0.5315,0.6546,11.04,352.82,346.3,66.5,0.0071,True,0.6045,False,True,0.8171,0.9265,2024-12-24 04:16:15,0.9492,0.5608299999999999,69.23827160493826,112.315
AG_00069,Project Manager,InstructGPT,Desktop,Text Processing,4,2,0.6605,0.728,0.712,14.93,674.7,326.1,62.6,0.0082,True,0.6991,False,False,0.739,0.8922,2024-12-24 04:16:15,0.9764,0.6961999999999999,75.67391304347825,68.93700000000001
AG_03286,Sales Assistant,GPT-4o,Edge,Creative Writing,8,8,0.3,0.4,0.4925,48.55,517.5,506.7,87.6,0.0213,True,0.3682,True,True,0.9789,0.7308,2024-12-24 04:16:16,0.7716,0.38775,17.387892376681613,105.774
AG_01522,Project Manager,LLaMA-3,Edge,Learning & Adaptation,8,8,0.301,0.4148,0.4506,122.3,955.46,524.6,74.5,0.046,True,0.3322,False,True,0.9223,0.9319,2024-12-24 04:16:16,0.955,0.38002,8.085531914893618,103.254
AG_01927,Customer Service,Claude-3.5,Hybrid,Research & Summarization,7,6,0.5196,0.5161,0.5407,47.62,1236.88,503.7,71.5,0.0209,True,0.6036,False,True,0.9388,0.7862,2024-12-24 04:16:16,0.9727,0.52488,23.967123287671235,102.25200000000001
AG_01509,Document Processor,Transformer-XL,Edge,Decision Making,5,7,0.5192,0.6209,0.5956,35.85,986.52,316.2,57.0,0.0151,True,0.5542,False,True,0.9262,0.7354,2024-12-24 04:16:16,0.9418,0.57263,35.56708074534161,108.79400000000001
AG_02958,Sales Assistant,Transformer-XL,Cloud,Planning & Scheduling,3,5,0.6438,0.693,0.6946,39.15,442.2,266.1,39.6,0.0157,True,0.693,False,False,0.8714,0.9121,2024-12-24 04:16:16,0.8949,0.6738,40.34730538922155,98.50999999999999
AG_03456,Customer Service,Claude-3.5,Mobile,Planning & Scheduling,4,5,0.6147,0.7148,0.6557,39.81,2117.33,355.2,39.0,0.0168,True,0.6601,False,True,0.8433,0.6423,2024-12-24 04:16:16,0.8495,0.65703,36.91179775280899,96.207
AG_04860,Translation Agent,Mixtral-8x7B,Hybrid,Creative Writing,5,6,0.4558,0.5894,0.6593,42.46,597.04,304.7,46.6,0.0172,True,0.5822,False,True,0.8351,0.71,2024-12-24 04:16:16,0.7919,0.55693,30.60054945054945,100.754
AG_04181,Document Processor,CodeT5+,Mobile,Data Analysis,8,10,0.3414,0.5009,0.5439,99.87,373.95,464.5,92.1,0.0379,True,0.4561,True,True,0.7877,0.7237,2024-12-24 04:16:16,0.7935,0.44999999999999996,11.568123393316194,131.927
AG_04531,HR Recruiter,InstructGPT,Edge,Communication,3,4,0.6555,0.7266,0.7687,23.68,271.04,305.0,16.7,0.0109,True,0.7632,False,True,0.8454,0.7512,2024-12-24 04:16:16,0.9606,0.71079,59.73025210084033,93.424
AG_04649,Code Assistant,Claude-3.5,Server,Text Processing,7,6,0.3949,0.5681,0.4982,15.99,1102.45,444.3,74.9,0.0098,True,0.5419,False,False,0.9493,0.7267,2024-12-24 04:16:16,0.9487,0.47784999999999994,44.24537037037036,97.933
AG_03789,Customer Service,CodeT5+,Edge,Creative Writing,3,3,0.7581,0.7492,0.7778,36.22,1538.73,304.1,32.4,0.0151,False,0.8915,True,True,0.7473,0.949,2024-12-24 04:16:16,0.9353,0.76134,47.28819875776398,112.405
AG_01302,Content Creator,Transformer-XL,Mobile,Problem Solving,7,8,0.3596,0.455,0.5105,91.31,216.62,431.0,66.0,0.0347,True,0.4095,False,True,0.9092,0.8157,2024-12-24 04:16:16,0.951,0.43349000000000004,12.142577030812324,108.66499999999999
AG_03783,Task Planner,InstructGPT,Cloud,Code Generation,5,6,0.6128,0.6743,0.7004,58.69,900.35,367.7,62.1,0.0232,True,0.654,False,False,0.7261,0.8931,2024-12-24 04:16:16,0.8532,0.65753,27.170661157024792,105.78
AG_04592,Project Manager,PaLM-2,Edge,Text Processing,5,4,0.5154,0.5883,0.683,11.45,3981.0,355.6,57.0,0.0074,True,0.5626,False,True,0.7682,0.9494,2024-12-24 04:16:16,0.9456,0.58755,69.94642857142857,79.382
AG_03196,HR Recruiter,InstructGPT,Server,Research & Summarization,7,5,0.3457,0.5763,0.5748,53.2,816.49,417.8,69.7,0.0219,True,0.3616,True,False,0.739,0.7845,2024-12-24 04:16:16,0.7902,0.48361000000000004,21.118340611353712,75.312
AG_02096,QA Tester,PaLM-2,Edge,Problem Solving,8,7,0.3071,0.4806,0.4605,78.8,117.75,505.4,93.4,0.0313,True,0.3282,False,True,0.8498,0.7355,2024-12-24 04:16:16,0.9189,0.40517000000000003,12.543962848297214,92.974
AG_02527,Document Processor,Falcon-180B,Hybrid,Problem Solving,9,10,0.3,0.4,0.4676,16.14,344.94,508.7,82.4,0.0105,True,0.4377,False,True,0.8031,0.9209,2024-12-24 04:16:16,0.8474,0.38027999999999995,33.067826086956515,130.639
AG_01238,Data Analyst,LLaMA-3,Edge,Research & Summarization,5,4,0.5771,0.5895,0.6144,49.63,502.84,389.0,60.6,0.0204,True,0.6989,False,True,0.9408,0.8504,2024-12-24 04:16:16,0.9577,0.5920099999999999,27.66401869158878,88.923
AG_04306,Task Planner,Mixtral-8x7B,Edge,Problem Solving,7,5,0.4213,0.5183,0.5366,80.06,1285.82,500.4,74.9,0.0317,True,0.5528,False,True,0.7416,0.8038,2024-12-24 04:16:16,0.9531,0.48499000000000003,14.831498470948013,88.696
AG_04718,Sales Assistant,Gemini-Pro,Hybrid,Communication,3,2,0.7677,0.7011,0.7382,26.63,1550.1,265.1,40.5,0.0115,False,0.8603,False,True,0.8002,0.7126,2024-12-24 04:16:16,0.8314,0.73887,59.1096,100.221
AG_04040,Code Assistant,LLaMA-3,Edge,Planning & Scheduling,7,8,0.4361,0.431,0.5759,30.77,1682.61,447.7,71.2,0.0147,True,0.5538,False,True,0.7849,0.622,2024-12-24 04:16:16,0.7897,0.47651,30.35095541401274,118.76599999999999
AG_01883,Financial Advisor,Falcon-180B,Edge,Learning & Adaptation,8,9,0.3423,0.4078,0.4731,94.99,1031.78,506.8,82.7,0.0367,True,0.4844,False,True,0.9093,0.791,2024-12-24 04:16:16,0.8079,0.40119,10.641644562334216,123.908
